ts_code,name,call_put,trade_date,exercise_price,days_to_maturity,underlying_close,market_price,rf_rate_decimal,bsm_lower_bound,bsm_upper_bound,moneyness
10007109.SH,易方达上证科创板50ETF期权2405认购0.65,C,2024-04-12,0.65,40,2.408,0.1003,0.020358333,1.759448566111943,2.408,3.7046153846153844
10007109.SH,易方达上证科创板50ETF期权2405认购0.65,C,2024-04-19,0.65,33,2.464,0.0937,0.019913,1.8151691769443676,2.464,3.7907692307692304
10007109.SH,易方达上证科创板50ETF期权2405认购0.65,C,2024-04-24,0.65,28,2.457,0.1049,0.01959,1.8079760828286946,2.457,3.78
10007109.SH,易方达上证科创板50ETF期权2405认购0.65,C,2024-04-29,0.65,23,2.511,0.1468,0.020236875,1.8618283519530046,2.511,3.8630769230769233
10007109.SH,易方达上证科创板50ETF期权2405认购0.65,C,2024-04-30,0.65,22,2.5,0.138,0.02048,1.8508018721016102,2.5,3.846153846153846
10007109.SH,易方达上证科创板50ETF期权2405认购0.65,C,2024-05-09,0.65,13,2.536,0.1462,0.019008571,1.886439912507162,2.536,3.9015384615384616
10007109.SH,易方达上证科创板50ETF期权2405认购0.65,C,2024-05-14,0.65,8,2.531,0.1273,0.018418571,1.8812623486015183,2.531,3.893846153846154
10007109.SH,易方达上证科创板50ETF期权2405认购0.65,C,2024-05-17,0.65,5,2.561,0.1217,0.017783333,1.9111583254604882,2.561,3.94
10007110.SH,易方达上证科创板50ETF期权2405认购0.70,C,2024-03-29,0.7,54,2.449,0.0828,0.021464,1.7512193215351526,2.449,3.4985714285714287
10007110.SH,易方达上证科创板50ETF期权2405认购0.70,C,2024-04-03,0.7,49,2.463,0.0782,0.021115667,1.7649814843968792,2.463,3.518571428571429
10007110.SH,易方达上证科创板50ETF期权2405认购0.70,C,2024-04-09,0.7,43,2.437,0.0678,0.020651667,1.7387009852453787,2.437,3.4814285714285713
10007110.SH,易方达上证科创板50ETF期权2405认购0.70,C,2024-04-12,0.7,40,2.408,0.0558,0.020358333,1.7095599942744004,2.408,3.44
10007110.SH,易方达上证科创板50ETF期权2405认购0.70,C,2024-04-19,0.7,33,2.464,0.0492,0.019913,1.7652591136323958,2.464,3.52
10007110.SH,易方达上证科创板50ETF期权2405认购0.70,C,2024-04-24,0.7,28,2.457,0.0545,0.01959,1.7580511661232097,2.457,3.5100000000000002
10007110.SH,易方达上证科创板50ETF期权2405认购0.70,C,2024-04-29,0.7,23,2.511,0.0977,0.020236875,1.8118920713340052,2.511,3.5871428571428576
10007110.SH,易方达上证科创板50ETF期权2405认购0.70,C,2024-04-30,0.7,22,2.5,0.0882,0.02048,1.800863554570965,2.5,3.5714285714285716
10007110.SH,易方达上证科创板50ETF期权2405认购0.70,C,2024-05-09,0.7,13,2.536,0.0973,0.019008571,1.8364737519307899,2.536,3.622857142857143
10007110.SH,易方达上证科创板50ETF期权2405认购0.70,C,2024-05-14,0.7,8,2.531,0.0769,0.018418571,1.8312825292631736,2.531,3.615714285714286
10007110.SH,易方达上证科创板50ETF期权2405认购0.70,C,2024-05-17,0.7,5,2.561,0.075,0.017783333,1.8611705043420643,2.561,3.658571428571429
10007111.SH,易方达上证科创板50ETF期权2405认购0.75,C,2024-03-29,0.75,54,2.449,0.0456,0.021464,1.7013778445019492,2.449,3.265333333333333
10007111.SH,易方达上证科创板50ETF期权2405认购0.75,C,2024-04-03,0.75,49,2.463,0.0397,0.021115667,1.7151230189966562,2.463,3.2840000000000003
10007111.SH,易方达上证科创板50ETF期权2405认购0.75,C,2024-04-09,0.75,43,2.437,0.0313,0.020651667,1.6888224841914772,2.437,3.249333333333333
10007111.SH,易方达上证科创板50ETF期权2405认购0.75,C,2024-04-12,0.75,40,2.408,0.0234,0.020358333,1.6596714224368574,2.408,3.2106666666666666
